roi_idx,roi_token,atlas,yeo7_network,confidence,note
0,FP_R,HO_cortical,CONT,medium,Frontal pole; Yeo splits between CONT (lateral) and DEFAULT (medial); HO FP covers both
1,FP_L,HO_cortical,CONT,medium,mirror of FP_R
2,IC_R,HO_cortical,VENTATTN,high,Insular cortex = Salience anchor (Yeo VENTATTN/Salience)
3,IC_L,HO_cortical,VENTATTN,high,mirror of IC_R
4,SFG_R,HO_cortical,CONT,medium,SFG straddles CONT/DEFAULT/SOMMOT in Yeo; default CONT
5,SFG_L,HO_cortical,CONT,medium,mirror of SFG_R
6,MidFG_R,HO_cortical,CONT,high,DLPFC core of CONT
7,MidFG_L,HO_cortical,CONT,high,mirror of MidFG_R
8,IFGtri_R,HO_cortical,CONT,medium,IFG triangularis: CONT or VENTATTN; default CONT
9,IFGtri_L,HO_cortical,CONT,medium,mirror of IFGtri_R
10,IFGoper_R,HO_cortical,VENTATTN,medium,IFG opercularis ~ inferior frontal junction (VENTATTN)
11,IFGoper_L,HO_cortical,VENTATTN,medium,mirror of IFGoper_R
12,PreCG_R,HO_cortical,SOMMOT,high,Primary motor cortex (M1)
13,PreCG_L,HO_cortical,SOMMOT,high,mirror of PreCG_R
14,TP_R,HO_cortical,LIMBIC,high,Temporal pole = LIMBIC
15,TP_L,HO_cortical,LIMBIC,high,mirror of TP_R
16,aSTG_R,HO_cortical,LIMBIC,medium,Anterior STG paralimbic; some sources DEFAULT
17,aSTG_L,HO_cortical,LIMBIC,medium,mirror of aSTG_R
18,pSTG_R,HO_cortical,SOMMOT,medium,Posterior STG = auditory association (SomMot)
19,pSTG_L,HO_cortical,SOMMOT,medium,mirror of pSTG_R
20,aMTG_R,HO_cortical,DEFAULT,high,Anterior MTG = DMN
21,aMTG_L,HO_cortical,DEFAULT,high,mirror of aMTG_R
22,pMTG_R,HO_cortical,DEFAULT,high,Posterior MTG = DMN
23,pMTG_L,HO_cortical,DEFAULT,high,mirror of pMTG_R
24,toMTG_R,HO_cortical,DEFAULT,medium,Temporo-occipital MTG can lean VIS
25,toMTG_L,HO_cortical,DEFAULT,medium,mirror of toMTG_R
26,aITG_R,HO_cortical,DEFAULT,medium,Anterior ITG often DMN; sometimes LIMBIC
27,aITG_L,HO_cortical,DEFAULT,medium,mirror of aITG_R
28,pITG_R,HO_cortical,VIS,medium,Posterior ITG = visual association
29,pITG_L,HO_cortical,VIS,medium,mirror of pITG_R
30,toITG_R,HO_cortical,VIS,high,Temporo-occipital ITG = ventral visual stream
31,toITG_L,HO_cortical,VIS,high,mirror of toITG_R
32,PostCG_R,HO_cortical,SOMMOT,high,Primary somatosensory cortex (S1)
33,PostCG_L,HO_cortical,SOMMOT,high,mirror of PostCG_R
34,SPL_R,HO_cortical,DORSATTN,high,Superior parietal lobule = intraparietal sulcus area (DorsAttn)
35,SPL_L,HO_cortical,DORSATTN,high,mirror of SPL_R
36,aSMG_R,HO_cortical,VENTATTN,high,Anterior SMG (TPJ region) = VENTATTN
37,aSMG_L,HO_cortical,VENTATTN,high,mirror of aSMG_R
38,pSMG_R,HO_cortical,VENTATTN,medium,Posterior SMG can be DorsAttn; default VENTATTN
39,pSMG_L,HO_cortical,VENTATTN,medium,mirror of pSMG_R
40,AG_R,HO_cortical,DEFAULT,high,Angular gyrus = canonical DMN node
41,AG_L,HO_cortical,DEFAULT,high,mirror of AG_R
42,sLOC_R,HO_cortical,DORSATTN,medium,Superior LOC borders DorsAttn (could also be VIS)
43,sLOC_L,HO_cortical,DORSATTN,medium,mirror of sLOC_R
44,iLOC_R,HO_cortical,VIS,high,Inferior LOC = visual association
45,iLOC_L,HO_cortical,VIS,high,mirror of iLOC_R
46,ICC_R,HO_cortical,VIS,high,Intracalcarine cortex = V1
47,ICC_L,HO_cortical,VIS,high,mirror of ICC_R
48,MedFC,HO_cortical,DEFAULT,high,Medial frontal / vmPFC = DMN
49,SMA_R,HO_cortical,SOMMOT,high,Supplementary motor area
50,SMA_L,HO_cortical,SOMMOT,high,mirror of SMA_R
51,SubCalC,HO_cortical,LIMBIC,high,Subcallosal/subgenual cortex = LIMBIC (vmPFC)
52,PaCiG_R,HO_cortical,VENTATTN,medium,Paracingulate / pre-SMA / dACC = Salience
53,PaCiG_L,HO_cortical,VENTATTN,medium,mirror of PaCiG_R
54,AC,HO_cortical,VENTATTN,high,Anterior cingulate = Salience anchor
55,PC,HO_cortical,DEFAULT,high,Posterior cingulate = DMN
56,Precuneous,HO_cortical,DEFAULT,high,Precuneus = DMN
57,Cuneal_R,HO_cortical,VIS,high,Cuneus = V1/V2
58,Cuneal_L,HO_cortical,VIS,high,mirror of Cuneal_R
59,FOrb_R,HO_cortical,LIMBIC,high,Frontal orbital cortex (OFC) = LIMBIC
60,FOrb_L,HO_cortical,LIMBIC,high,mirror of FOrb_R
61,aPaHC_R,HO_cortical,LIMBIC,high,Anterior parahippocampal cortex = LIMBIC
62,aPaHC_L,HO_cortical,LIMBIC,high,mirror of aPaHC_R
63,pPaHC_R,HO_cortical,LIMBIC,medium,Posterior PaHC sometimes mapped to DEFAULT
64,pPaHC_L,HO_cortical,LIMBIC,medium,mirror of pPaHC_R
65,LG_R,HO_cortical,VIS,high,Lingual gyrus = visual
66,LG_L,HO_cortical,VIS,high,mirror of LG_R
67,aTFusC_R,HO_cortical,VIS,high,Anterior temporal fusiform = ventral visual stream
68,aTFusC_L,HO_cortical,VIS,high,mirror of aTFusC_R
69,pTFusC_R,HO_cortical,VIS,high,Posterior temporal fusiform = ventral visual stream
70,pTFusC_L,HO_cortical,VIS,high,mirror of pTFusC_R
71,TOFusC_R,HO_cortical,VIS,high,Temporo-occipital fusiform = ventral visual stream
72,TOFusC_L,HO_cortical,VIS,high,mirror of TOFusC_R
73,OFusG_R,HO_cortical,VIS,high,Occipital fusiform = ventral visual stream
74,OFusG_L,HO_cortical,VIS,high,mirror of OFusG_R
75,FO_R,HO_cortical,VENTATTN,high,Frontal operculum = Salience
76,FO_L,HO_cortical,VENTATTN,high,mirror of FO_R
